Date,Plant,CalculatedDate,Version,Value,DateTime
2020-12-25,Annacis Island,NA,NA,NA,NA
2020-12-25,Iona Island,NA,NA,NA,NA
2020-12-25,Lions Gate,NA,NA,NA,NA
2020-12-25,Lulu Island,NA,NA,NA,NA
2020-12-25,Northwest Langley,NA,NA,NA,NA
2021-12-25,Annacis Island,NA,NA,NA,NA
2021-12-25,Iona Island,NA,NA,NA,NA
2021-12-25,Lions Gate,NA,NA,NA,NA
2021-12-25,Lulu Island,NA,NA,NA,NA
2021-12-25,Northwest Langley,NA,NA,NA,NA
2020-05-10,Annacis Island,2020/05/10,6,3373,2020-05-10T09:00:00Z
2020-05-17,Annacis Island,2020/05/17,8,0,2020-05-17T09:00:00Z
2020-05-24,Annacis Island,2020/05/24,7,0,2020-05-24T09:00:00Z
2020-05-31,Annacis Island,2020/05/31,6,2182,2020-05-31T09:00:00Z
2020-06-07,Annacis Island,2020/06/07,7,0,2020-06-07T09:00:00Z
2020-06-14,Annacis Island,2020/06/14,7,0,2020-06-14T09:00:00Z
2020-06-21,Annacis Island,2020/06/21,7,0,2020-06-21T09:00:00Z
2020-06-28,Annacis Island,2020/06/28,7,0,2020-06-28T09:00:00Z
2020-07-05,Annacis Island,2020/07/05,7,0,2020-07-05T09:00:00Z
2020-07-12,Annacis Island,2020/07/12,6,3926,2020-07-12T09:00:00Z
2020-07-19,Annacis Island,2020/07/19,7,0,2020-07-19T09:00:00Z
2020-07-26,Annacis Island,2020/07/26,6,3160,2020-07-26T09:00:00Z
2020-08-02,Annacis Island,2020/08/02,6,4091,2020-08-02T09:00:00Z
2020-08-09,Annacis Island,2020/08/09,6,7767,2020-08-09T09:00:00Z
2020-08-16,Annacis Island,2020/08/16,6,5659,2020-08-16T09:00:00Z
2020-08-23,Annacis Island,2020/08/23,6,3017,2020-08-23T09:00:00Z
2020-08-30,Annacis Island,2020/08/30,6,3585,2020-08-30T09:00:00Z
2020-09-07,Annacis Island,2020/09/07,6,3252,2020-09-07T09:00:00Z
2020-09-13,Annacis Island,2020/09/13,6,4426,2020-09-13T09:00:00Z
2020-09-20,Annacis Island,2020/09/20,6,3829,2020-09-20T09:00:00Z
2020-09-27,Annacis Island,2020/09/27,8,3101,2020-09-27T09:00:00Z
2020-10-04,Annacis Island,2020/10/04,7,2508,2020-10-04T09:00:00Z
2020-10-11,Annacis Island,2020/10/11,6,6142,2020-10-11T09:00:00Z
2020-10-18,Annacis Island,2020/10/18,6,7106,2020-10-18T09:00:00Z
2020-10-25,Annacis Island,2020/10/25,6,12561,2020-10-25T09:00:00Z
2020-11-01,Annacis Island,2020/11/01,6,17859,2020-11-01T09:00:00Z
2020-11-08,Annacis Island,2020/11/08,6,23519,2020-11-08T09:00:00Z
2020-11-15,Annacis Island,2020/11/15,6,23662,2020-11-15T09:00:00Z
2020-11-22,Annacis Island,2020/11/22,6,20733,2020-11-22T09:00:00Z
2020-11-29,Annacis Island,2020/11/29,6,18325,2020-11-29T09:00:00Z
2020-12-06,Annacis Island,2020/12/06,6,20286,2020-12-06T09:00:00Z
2020-12-13,Annacis Island,2020/12/13,6,25598,2020-12-13T09:00:00Z
2020-12-20,Annacis Island,2020/12/20,2,0,2020-12-20T08:00:00Z
2020-12-27,Annacis Island,2020/12/27,2,0,2020-12-27T08:00:00Z
2021-01-03,Annacis Island,2021/01/03,2,0,2021-01-03T08:00:00Z
2021-01-10,Annacis Island,2021/01/10,4,14583,2021-01-10T08:00:00Z
2021-01-17,Annacis Island,2021/01/17,5,12595,2021-01-17T08:00:00Z
2021-01-24,Annacis Island,2021/01/24,5,28392,2021-01-24T08:00:00Z
2021-01-31,Annacis Island,2021/01/31,4,49940,2021-01-31T08:00:00Z
2021-02-07,Annacis Island,2021/02/07,5,15950,2021-02-07T08:00:00Z
2021-02-14,Annacis Island,2021/02/14,4,39360,2021-02-14T08:00:00Z
2021-02-21,Annacis Island,2021/02/21,4,42230,2021-02-21T08:00:00Z
2021-02-28,Annacis Island,2021/02/28,1,46390,2021-02-28T08:00:00Z
2021-03-07,Annacis Island,2021/03/07,2,42705,2021-03-07T08:00:00Z
2021-03-14,Annacis Island,2021/03/14,3,66633,2021-03-14T08:00:00Z
2021-03-21,Annacis Island,2021/03/21,1,66850,2021-03-21T07:00:00Z
2021-03-28,Annacis Island,2021/03/28,4,66453,2021-03-28T07:00:00Z
2021-04-04,Annacis Island,2021/04/04,1,179852,2021-04-04T07:00:00Z
2021-04-11,Annacis Island,2021/04/11,1,82631,2021-04-11T07:00:00Z
2021-04-18,Annacis Island,2021/04/18,1,106081,2021-04-18T07:00:00Z
2021-04-25,Annacis Island,2021/04/25,1,104814,2021-04-25T07:00:00Z
2021-05-02,Annacis Island,2021/05/02,4,64992,2021-05-02T07:00:00Z
2021-05-09,Annacis Island,2021/05/09,4,50563,2021-05-09T07:00:00Z
2021-05-16,Annacis Island,2021/05/16,5,51820,2021-05-16T07:00:00Z
2021-05-23,Annacis Island,2021/05/23,6,35293,2021-05-23T07:00:00Z
2021-05-30,Annacis Island,2021/05/30,4,16364,2021-05-30T07:00:00Z
2021-06-06,Annacis Island,2021/06/06,4,13907,2021-06-06T07:00:00Z
2021-06-13,Annacis Island,2021/06/13,4,11610,2021-06-13T07:00:00Z
2021-06-20,Annacis Island,2021/06/20,4,5115,2021-06-20T07:00:00Z
2021-06-27,Annacis Island,2021/06/27,1,2642,2021-06-27T07:00:00Z
2021-07-04,Annacis Island,2021/07/04,4,2365,2021-07-04T07:00:00Z
2021-07-11,Annacis Island,2021/07/11,4,2730,2021-07-11T07:00:00Z
2021-07-18,Annacis Island,2021/07/18,4,1633,2021-07-18T07:00:00Z
2021-07-25,Annacis Island,2021/07/25,4,7442,2021-07-25T07:00:00Z
2021-08-01,Annacis Island,2021/08/01,5,10440,2021-08-01T07:00:00Z
2021-08-07,Annacis Island,2021/08/07,2,23191,2021-08-07T07:00:00Z
2021-08-14,Annacis Island,2021/08/14,5,50003,2021-08-14T07:00:00Z
2021-08-21,Annacis Island,2021/08/21,5,44941,2021-08-21T07:00:00Z
2021-08-23,Annacis Island,2021/08/23,5,46460,2021-08-23T07:00:00Z
2021-08-25,Annacis Island,2021/08/25,5,43567,2021-08-25T07:00:00Z
2021-08-28,Annacis Island,2021/08/28,5,39884,2021-08-28T07:00:00Z
2021-08-30,Annacis Island,2021/08/30,5,23263,2021-08-30T07:00:00Z
2021-09-01,Annacis Island,2021/09/01,5,21827,2021-09-01T07:00:00Z
2021-09-04,Annacis Island,2021/09/04,6,27234,2021-09-04T07:00:00Z
2021-09-06,Annacis Island,2021/09/06,5,17345,2021-09-06T07:00:00Z
2021-09-08,Annacis Island,2021/09/08,5,20979,2021-09-08T07:00:00Z
2021-09-11,Annacis Island,2021/09/11,6,16344,2021-09-11T07:00:00Z
2021-09-13,Annacis Island,2021/09/13,5,13078,2021-09-13T07:00:00Z
2021-09-15,Annacis Island,2021/09/15,5,15050,2021-09-15T07:00:00Z
2021-09-18,Annacis Island,2021/09/18,3,12233,2021-09-18T07:00:00Z
2021-09-20,Annacis Island,2021/09/20,5,16360,2021-09-20T07:00:00Z
2021-09-22,Annacis Island,2021/09/22,3,NA,2021-09-22T07:00:00Z
2021-09-25,Annacis Island,2021/09/25,2,20402,2021-09-25T07:00:00Z
2021-09-27,Annacis Island,2021/09/27,5,11648,2021-09-27T07:00:00Z
2021-09-29,Annacis Island,2021/09/29,5,17455,2021-09-29T07:00:00Z
2021-10-02,Annacis Island,2021/10/02,2,21615,2021-10-02T07:00:00Z
2021-10-04,Annacis Island,2021/10/04,5,16241,2021-10-04T07:00:00Z
2021-10-06,Annacis Island,2021/10/06,5,19364,2021-10-06T07:00:00Z
2021-10-09,Annacis Island,2021/10/09,6,21929,2021-10-09T07:00:00Z
2021-10-11,Annacis Island,2021/10/11,5,26997,2021-10-11T07:00:00Z
2021-10-13,Annacis Island,2021/10/13,4,24357,2021-10-13T07:00:00Z
2021-10-16,Annacis Island,2021/10/16,4,18068,2021-10-16T07:00:00Z
2021-10-18,Annacis Island,2021/10/18,4,23515,2021-10-18T07:00:00Z
2021-10-20,Annacis Island,2021/10/20,5,13436,2021-10-20T07:00:00Z
2021-10-23,Annacis Island,2021/10/23,4,19842,2021-10-23T07:00:00Z
2021-10-25,Annacis Island,2021/10/25,4,24502,2021-10-25T07:00:00Z
2021-10-27,Annacis Island,2021/10/27,1,23225,2021-10-27T07:00:00Z
2021-10-30,Annacis Island,2021/10/30,1,24569,2021-10-30T07:00:00Z
2021-11-01,Annacis Island,2021/11/01,1,35720,2021-11-01T07:00:00Z
2021-11-03,Annacis Island,2021/11/03,7,14130,2021-11-03T07:00:00Z
2021-11-06,Annacis Island,2021/11/06,4,13701,2021-11-06T07:00:00Z
2021-11-08,Annacis Island,2021/11/08,4,13245,2021-11-08T08:00:00Z
2021-11-10,Annacis Island,2021/11/10,4,11410,2021-11-10T08:00:00Z
2021-11-13,Annacis Island,2021/11/13,4,13415,2021-11-13T08:00:00Z
2021-11-15,Annacis Island,2021/11/15,4,1424,2021-11-15T08:00:00Z
2021-11-17,Annacis Island,2021/11/17,4,5583,2021-11-17T08:00:00Z
2021-11-20,Annacis Island,2021/11/20,4,5996,2021-11-20T08:00:00Z
2021-11-22,Annacis Island,2021/11/22,4,9424,2021-11-22T08:00:00Z
2021-11-24,Annacis Island,2021/11/24,3,5482,2021-11-24T08:00:00Z
2021-11-27,Annacis Island,2021/11/27,3,6910,2021-11-27T08:00:00Z
2021-11-29,Annacis Island,2021/11/29,3,9767,2021-11-29T08:00:00Z
2021-12-01,Annacis Island,2021/12/01,4,970,2021-12-01T08:00:00Z
2021-12-04,Annacis Island,2021/12/04,3,9782,2021-12-04T08:00:00Z
2021-12-06,Annacis Island,2021/12/06,3,9163,2021-12-06T08:00:00Z
2021-12-08,Annacis Island,2021/12/08,3,11220,2021-12-08T08:00:00Z
2021-12-11,Annacis Island,2021/12/11,3,10457,2021-12-11T08:00:00Z
2021-12-13,Annacis Island,2021/12/13,3,8679,2021-12-13T08:00:00Z
2021-12-15,Annacis Island,2021/12/15,3,12923,2021-12-15T08:00:00Z
2021-12-18,Annacis Island,2021/12/18,3,14601,2021-12-18T08:00:00Z
2021-12-20,Annacis Island,2021/12/20,3,37117,2021-12-20T08:00:00Z
2022-01-05,Annacis Island,2022/01/05,3,694718,2022-01-05T08:00:00Z
2022-01-06,Annacis Island,2022/01/06,3,533244,2022-01-06T08:00:00Z
2022-01-07,Annacis Island,2022/01/07,3,332746,2022-01-07T08:00:00Z
2022-01-08,Annacis Island,2022/01/08,3,315082,2022-01-08T08:00:00Z
2022-01-10,Annacis Island,2022/01/10,1,507188,2022-01-10T08:00:00Z
2022-01-12,Annacis Island,2022/01/12,1,184755,2022-01-12T08:00:00Z
2022-01-15,Annacis Island,2022/01/15,1,499850,2022-01-15T08:00:00Z
2020-09-27,Iona Island,2020/09/27,7,7704,2020-09-27T09:00:00Z
2020-10-04,Iona Island,2020/10/04,6,5606,2020-10-04T09:00:00Z
2020-10-11,Iona Island,2020/10/11,7,3723,2020-10-11T09:00:00Z
2020-10-18,Iona Island,2020/10/18,7,3576,2020-10-18T09:00:00Z
2020-10-25,Iona Island,2020/10/25,7,5086,2020-10-25T09:00:00Z
2020-11-01,Iona Island,2020/11/01,7,4555,2020-11-01T09:00:00Z
2020-11-08,Iona Island,2020/11/08,7,5157,2020-11-08T09:00:00Z
2020-11-15,Iona Island,2020/11/15,7,2360,2020-11-15T09:00:00Z
2020-11-22,Iona Island,2020/11/22,7,8797,2020-11-22T09:00:00Z
2020-11-29,Iona Island,2020/11/29,7,7145,2020-11-29T09:00:00Z
2020-12-06,Iona Island,2020/12/06,7,7818,2020-12-06T09:00:00Z
2020-12-13,Iona Island,2020/12/13,7,2032,2020-12-13T09:00:00Z
2020-12-20,Iona Island,2020/12/20,2,0,2020-12-20T08:00:00Z
2020-12-27,Iona Island,2020/12/27,3,0,2020-12-27T08:00:00Z
2021-01-03,Iona Island,2021/01/03,2,0,2021-01-03T08:00:00Z
2021-01-10,Iona Island,2021/01/10,4,22210,2021-01-10T08:00:00Z
2021-01-17,Iona Island,2021/01/17,4,3478,2021-01-17T08:00:00Z
2021-01-24,Iona Island,2021/01/24,4,12961,2021-01-24T08:00:00Z
2021-01-31,Iona Island,2021/01/31,3,15304,2021-01-31T08:00:00Z
2021-02-07,Iona Island,2021/02/07,4,11428,2021-02-07T08:00:00Z
2021-02-14,Iona Island,2021/02/14,4,8790,2021-02-14T08:00:00Z
2021-02-21,Iona Island,2021/02/21,3,28490,2021-02-21T08:00:00Z
2021-02-28,Iona Island,2021/02/28,4,29920,2021-02-28T08:00:00Z
2021-03-07,Iona Island,2021/03/07,5,20900,2021-03-07T08:00:00Z
2021-03-14,Iona Island,2021/03/14,4,19306,2021-03-14T08:00:00Z
2021-03-21,Iona Island,2021/03/21,1,33471,2021-03-21T07:00:00Z
2021-03-28,Iona Island,2021/03/28,4,38812,2021-03-28T07:00:00Z
2021-04-04,Iona Island,2021/04/04,1,77938,2021-04-04T07:00:00Z
2021-04-11,Iona Island,2021/04/11,1,46613,2021-04-11T07:00:00Z
2021-04-18,Iona Island,2021/04/18,2,68487,2021-04-18T07:00:00Z
2021-04-25,Iona Island,2021/04/25,1,44483,2021-04-25T07:00:00Z
2021-05-02,Iona Island,2021/05/02,4,22800,2021-05-02T07:00:00Z
2021-05-09,Iona Island,2021/05/09,4,23188,2021-05-09T07:00:00Z
2021-05-16,Iona Island,2021/05/16,5,26690,2021-05-16T07:00:00Z
2021-05-23,Iona Island,2021/05/23,6,20193,2021-05-23T07:00:00Z
2021-05-30,Iona Island,2021/05/30,4,6956,2021-05-30T07:00:00Z
2021-06-06,Iona Island,2021/06/06,5,7697,2021-06-06T07:00:00Z
2021-06-13,Iona Island,2021/06/13,4,5502,2021-06-13T07:00:00Z
2021-06-20,Iona Island,2021/06/20,4,10620,2021-06-20T07:00:00Z
2021-06-27,Iona Island,2021/06/27,1,1236,2021-06-27T07:00:00Z
2021-07-04,Iona Island,2021/07/04,4,4479,2021-07-04T07:00:00Z
2021-07-11,Iona Island,2021/07/11,4,1240,2021-07-11T07:00:00Z
2021-07-18,Iona Island,2021/07/18,4,0,2021-07-18T07:00:00Z
2021-07-25,Iona Island,2021/07/25,4,4424,2021-07-25T07:00:00Z
2021-08-01,Iona Island,2021/08/01,4,11560,2021-08-01T07:00:00Z
2021-08-07,Iona Island,2021/08/07,2,9960,2021-08-07T07:00:00Z
2021-08-14,Iona Island,2021/08/14,5,32330,2021-08-14T07:00:00Z
2021-08-18,Iona Island,2021/08/18,5,59651,2021-08-18T07:00:00Z
2021-08-21,Iona Island,2021/08/21,5,52337,2021-08-21T07:00:00Z
2021-08-23,Iona Island,2021/08/23,5,42635,2021-08-23T07:00:00Z
2021-08-25,Iona Island,2021/08/25,5,80894,2021-08-25T07:00:00Z
2021-08-28,Iona Island,2021/08/28,5,52440,2021-08-28T07:00:00Z
2021-08-30,Iona Island,2021/08/30,5,21736,2021-08-30T07:00:00Z
2021-09-01,Iona Island,2021/09/01,5,25083,2021-09-01T07:00:00Z
2021-09-04,Iona Island,2021/09/04,6,16603,2021-09-04T07:00:00Z
2021-09-06,Iona Island,2021/09/06,5,12314,2021-09-06T07:00:00Z
2021-09-08,Iona Island,2021/09/08,5,16194,2021-09-08T07:00:00Z
2021-09-11,Iona Island,2021/09/11,6,19604,2021-09-11T07:00:00Z
2021-09-13,Iona Island,2021/09/13,5,20575,2021-09-13T07:00:00Z
2021-09-15,Iona Island,2021/09/15,5,17921,2021-09-15T07:00:00Z
2021-09-18,Iona Island,2021/09/18,4,7021,2021-09-18T07:00:00Z
2021-09-20,Iona Island,2021/09/20,5,18800,2021-09-20T07:00:00Z
2021-09-22,Iona Island,2021/09/22,5,20360,2021-09-22T07:00:00Z
2021-09-25,Iona Island,2021/09/25,4,13156,2021-09-25T07:00:00Z
2021-09-27,Iona Island,2021/09/27,5,7983,2021-09-27T07:00:00Z
2021-09-29,Iona Island,2021/09/29,5,11392,2021-09-29T07:00:00Z
2021-10-02,Iona Island,2021/10/02,2,11745,2021-10-02T07:00:00Z
2021-10-04,Iona Island,2021/10/04,5,9241,2021-10-04T07:00:00Z
2021-10-06,Iona Island,2021/10/06,5,13531,2021-10-06T07:00:00Z
2021-10-09,Iona Island,2021/10/09,5,7761,2021-10-09T07:00:00Z
2021-10-11,Iona Island,2021/10/11,5,11519,2021-10-11T07:00:00Z
2021-10-13,Iona Island,2021/10/13,4,9731,2021-10-13T07:00:00Z
2021-10-16,Iona Island,2021/10/16,4,3008,2021-10-16T07:00:00Z
2021-10-18,Iona Island,2021/10/18,4,4775,2021-10-18T07:00:00Z
2021-10-20,Iona Island,2021/10/20,4,6664,2021-10-20T07:00:00Z
2021-10-23,Iona Island,2021/10/23,4,12164,2021-10-23T07:00:00Z
2021-10-25,Iona Island,2021/10/25,4,8964,2021-10-25T07:00:00Z
2021-10-27,Iona Island,2021/10/27,4,10973,2021-10-27T07:00:00Z
2021-10-30,Iona Island,2021/10/30,4,9033,2021-10-30T07:00:00Z
2021-11-01,Iona Island,2021/11/01,4,6620,2021-11-01T07:00:00Z
2021-11-03,Iona Island,2021/11/03,8,NA,2021-11-03T07:00:00Z
2021-11-06,Iona Island,2021/11/06,4,5844,2021-11-06T07:00:00Z
2021-11-08,Iona Island,2021/11/08,4,1784,2021-11-08T08:00:00Z
2021-11-10,Iona Island,2021/11/10,4,4062,2021-11-10T08:00:00Z
2021-11-13,Iona Island,2021/11/13,4,3123,2021-11-13T08:00:00Z
2021-11-15,Iona Island,2021/11/15,4,883,2021-11-15T08:00:00Z
2021-11-17,Iona Island,2021/11/17,4,3452,2021-11-17T08:00:00Z
2021-11-20,Iona Island,2021/11/20,4,3836,2021-11-20T08:00:00Z
2021-11-22,Iona Island,2021/11/22,4,1596,2021-11-22T08:00:00Z
2021-11-24,Iona Island,2021/11/24,3,5108,2021-11-24T08:00:00Z
2021-11-27,Iona Island,2021/11/27,3,4874,2021-11-27T08:00:00Z
2021-11-29,Iona Island,2021/11/29,3,2974,2021-11-29T08:00:00Z
2021-12-01,Iona Island,2021/12/01,4,1997,2021-12-01T08:00:00Z
2021-12-04,Iona Island,2021/12/04,4,2589,2021-12-04T08:00:00Z
2021-12-06,Iona Island,2021/12/06,4,2791,2021-12-06T08:00:00Z
2021-12-08,Iona Island,2021/12/08,4,5007,2021-12-08T08:00:00Z
2021-12-11,Iona Island,2021/12/11,4,4170,2021-12-11T08:00:00Z
2021-12-13,Iona Island,2021/12/13,4,8495,2021-12-13T08:00:00Z
2021-12-15,Iona Island,2021/12/15,4,14405,2021-12-15T08:00:00Z
2021-12-18,Iona Island,2021/12/18,4,13614,2021-12-18T08:00:00Z
2021-12-20,Iona Island,2021/12/20,4,40060,2021-12-20T08:00:00Z
2022-01-05,Iona Island,2022/01/05,4,332835,2022-01-05T08:00:00Z
2022-01-06,Iona Island,2022/01/06,4,180645,2022-01-06T08:00:00Z
2022-01-07,Iona Island,2022/01/07,4,102105,2022-01-07T08:00:00Z
2022-01-08,Iona Island,2022/01/08,4,142928,2022-01-08T08:00:00Z
2022-01-10,Iona Island,2022/01/10,2,184489,2022-01-10T08:00:00Z
2022-01-12,Iona Island,2022/01/12,5,63706,2022-01-12T08:00:00Z
2022-01-15,Iona Island,2022/01/15,3,212782,2022-01-15T08:00:00Z
2020-09-27,Lions Gate,2020/09/27,6,946,2020-09-27T09:00:00Z
2020-10-04,Lions Gate,2020/10/04,6,1216,2020-10-04T09:00:00Z
2020-10-11,Lions Gate,2020/10/11,6,4612,2020-10-11T09:00:00Z
2020-10-18,Lions Gate,2020/10/18,6,3507,2020-10-18T09:00:00Z
2020-10-25,Lions Gate,2020/10/25,8,0,2020-10-25T09:00:00Z
2020-11-01,Lions Gate,2020/11/01,8,0,2020-11-01T07:00:00Z
2020-11-08,Lions Gate,2020/11/08,10,2892,2020-11-08T08:00:00Z
2020-11-15,Lions Gate,2020/11/15,8,0,2020-11-15T08:00:00Z
2020-11-22,Lions Gate,2020/11/22,7,923,2020-11-22T08:00:00Z
2020-11-29,Lions Gate,2020/11/29,7,3162,2020-11-29T08:00:00Z
2020-12-06,Lions Gate,2020/12/06,7,2140,2020-12-06T08:00:00Z
2020-12-13,Lions Gate,2020/12/13,7,4314,2020-12-13T08:00:00Z
2020-12-20,Lions Gate,2020/12/20,3,0,2020-12-20T08:00:00Z
2020-12-27,Lions Gate,2020/12/27,2,0,2020-12-27T08:00:00Z
2021-01-03,Lions Gate,2021/01/03,2,0,2021-01-03T08:00:00Z
2021-01-10,Lions Gate,2021/01/10,4,5448,2021-01-10T08:00:00Z
2021-01-17,Lions Gate,2021/01/17,4,2919,2021-01-17T08:00:00Z
2021-01-24,Lions Gate,2021/01/24,4,4840,2021-01-24T08:00:00Z
2021-01-31,Lions Gate,2021/01/31,4,5357,2021-01-31T08:00:00Z
2021-02-07,Lions Gate,2021/02/07,5,7094,2021-02-07T08:00:00Z
2021-02-14,Lions Gate,2021/02/14,3,5505,2021-02-14T08:00:00Z
2021-02-21,Lions Gate,2021/02/21,3,4822,2021-02-21T08:00:00Z
2021-02-28,Lions Gate,2021/02/28,4,6639,2021-02-28T08:00:00Z
2021-03-07,Lions Gate,2021/03/07,3,7974,2021-03-07T08:00:00Z
2021-03-14,Lions Gate,2021/03/14,4,3567,2021-03-14T08:00:00Z
2021-03-21,Lions Gate,2021/03/21,1,20831,2021-03-21T07:00:00Z
2021-03-28,Lions Gate,2021/03/28,4,18234,2021-03-28T07:00:00Z
2021-04-04,Lions Gate,2021/04/04,1,20833,2021-04-04T07:00:00Z
2021-04-11,Lions Gate,2021/04/11,1,24755,2021-04-11T07:00:00Z
2021-04-18,Lions Gate,2021/04/18,1,14854,2021-04-18T07:00:00Z
2021-04-25,Lions Gate,2021/04/25,1,8913,2021-04-25T07:00:00Z
2021-05-02,Lions Gate,2021/05/02,4,7372,2021-05-02T07:00:00Z
2021-05-09,Lions Gate,2021/05/09,5,13098,2021-05-09T07:00:00Z
2021-05-16,Lions Gate,2021/05/16,5,4026,2021-05-16T07:00:00Z
2021-05-23,Lions Gate,2021/05/23,6,2864,2021-05-23T07:00:00Z
2021-05-30,Lions Gate,2021/05/30,4,3779,2021-05-30T07:00:00Z
2021-06-06,Lions Gate,2021/06/06,4,4057,2021-06-06T07:00:00Z
2021-06-13,Lions Gate,2021/06/13,4,3926,2021-06-13T07:00:00Z
2021-06-20,Lions Gate,2021/06/20,4,1805,2021-06-20T07:00:00Z
2021-06-27,Lions Gate,2021/06/27,1,1138,2021-06-27T07:00:00Z
2021-07-04,Lions Gate,2021/07/04,4,1239,2021-07-04T07:00:00Z
2021-07-11,Lions Gate,2021/07/11,4,1920,2021-07-11T07:00:00Z
2021-07-18,Lions Gate,2021/07/18,4,2688,2021-07-18T07:00:00Z
